coreid,aff_total,coresex,coreprefyr,Degree,Major,fy14,donor
83,13,M,1977,BS,GRP SS Hist,300,1
84,8,F,1991,MED,Special Education,400,1
85,63,F,1969,BS,GRO Soc Science,550,1
86,12,M,1974,BS,Group SS Soc,250,1
87,12,F,1973,BA,English Language and Literature,600,1
88,13,F,1971,BS,GRO Soc Science,500,1
89,12,F,1968,BA,German,650,1
90,4,M,1972,BS,Public Administration,50,1
91,14,M,1991,BS,Industrial Technology,100,1
92,15,F,1968,BA,English Language and Literature,100,1
93,9,M,1986,BBA,Business General,150,1
94,16,M,1976,BS,Environmental Studies,250,1
95,5,F,1977,BS,Social Relations,50,1
96,9,F,1990,BS,Chemistry,50,1
97,10,F,1986,BS,Advertising & Public Relations,1450,1
98,14,M,1973,BS,Group SS Soc,100,1
99,5,F,1973,BA,Anthropology,100,1
100,13,M,1974,BS,Physical Education,350,1
101,6,F,1975,BS,Group SS Soc,200,1
102,7,M,1968,BA,GRO Soc Science,650,1
103,30,M,1977,BS,Health Science,50,1
104,15,F,1972,BA,German,600,1
105,17,M,1969,BS,GRO Soc Science,600,1
106,7,M,1975,BPH,Environmental Studies,50,1
107,11,M,1967,BA,History,50,1
108,2,M,1974,BS,GRP SCI Chem,250,1
109,7,M,1970,BS,Environmental Studies,100,1
110,9,M,1974,BA,Psychology,50,1
111,11,M,1976,MBA,Business General,125,1
112,14,M,1974,BS,Physical Education,250,1
113,13,M,1967,BA,Economics,250,1
114,20,M,1968,BS,Chemistry,5e3,1
115,8,M,1974,BS,Public Administration,200,1
116,4,F,1973,BS,GRP SS Psych,50,1
117,5,F,1975,BS,Medical Technology,100,1
118,7,F,1986,BA,English Language and Literature,100,1
119,8,M,1971,BS,GRO Soc Science,50,1
120,102,F,1967,BA,Group Science,1850,1
121,9,M,1973,BS,GRP SS Econ,200,1
122,4,M,1969,BS,Medical Technology,50,1
123,9,M,1975,BBA,Business General,2003.21,1
124,18,M,1973,BBA,Business General,200,1
125,16,M,1973,BA,German,2150,1
126,23,M,1972,BS,Biology,100,1
127,10,M,1976,BS,Mathematics,100,1
128,7,M,1976,BS,Political Science,500,1
129,10,M,1974,BS,Economics,150,1
130,5,M,1972,BS,Group SS Soc,50,1
131,6,M,1969,BBA,Economics,50,1
132,9,M,1968,BS,Behavioral Science,200,1
133,19,M,1967,BA,Mathematics,1500,1
134,1,M,1977,BS,Geology,175,1
135,8,M,1972,MBA,Finance,50,1
136,17,M,1968,BS,Mathematics,300,1
137,15,F,1969,BA,Group SCI Math,300,1
138,11,M,1976,MED,Special Education,50,1
139,4,M,1976,MBA,Finance,25,1
140,8,M,1974,BA,History,165,1
141,10,M,1967,BA,Political Science,100,1
142,9,F,1968,BA,Mathematics,100,1
143,10,F,1976,BS,Physical Education,100,1
144,11,F,1972,BS,Mathematics,1e3,1
145,3,F,1975,BPH,Environmental Studies,30,1
146,8,F,1978,BS,Nursing,100,1
147,5,M,1970,BS,Psychology,30,1
148,8,M,1970,BS,GRO Soc Science,50,1
149,5,M,1974,BS,Physical Education,200,1
150,4,F,1976,BA,Mathematics,50,1
151,10,M,1978,MED,General Education,600,1
152,5,M,1971,BS,Economics,25,1
153,7,M,1970,BS,Mathematics,1e3,1
154,21,M,1975,BS,History,1200,1
155,10,F,1972,BS,GRP SCI Biology,25,1
156,6,M,1975,BBA,Business General,100,1
157,9,F,1971,BS,Physical Education,200,1
158,11,F,1975,BA,Chemistry,150,1
159,14,M,1972,BS,Health Science,500,1
160,3,F,1968,BS,GRO Soc Science,50,1
161,6,F,1975,BS,Art,50,1
162,8,M,1973,BS,Accounting,50,1
163,10,M,1976,BS,Chemistry,600,1
164,40,M,1968,BA,German,600,1
165,7,M,1973,BBA,Business General,100,1
166,7,M,1976,BS,Biology,150,1
167,11,M,1970,MBA,Accounting,25,1
168,12,M,1967,BA,Economics,500,1
169,12,M,1975,BS,Biomedical Communications,100,1
170,9,F,1975,BS,Group SS Soc,250,1
171,1,M,1975,BBA,Accounting,100,1
172,18,M,1973,BS,Physical Education,300,1
173,7,F,1974,BS,Group SS Soc,350,1
174,6,M,1967,BA,GRP SS Hist,25,1
175,12,M,1969,BA,English Language and Literature,100,1
176,10,F,1972,BS,Behavioral Science,25,1
177,12,M,1970,BS,Mathematics,100,1
178,9,F,1971,BA,French,100,1
179,4,M,1977,BS,Criminal Justice,50,1
180,9,F,1971,BA,Spanish,100,1
181,7,F,1969,BA,GRO Soc Science,100,1
182,6,F,1973,BS,Group SS Soc,100,1
183,8,F,1971,BA,Mathematics,250,1
184,10,F,1967,BA,German,50,1
185,10,M,1973,BS,GRP SCI Chem,520,1
186,9,M,1972,BS,Sociology,600,1
187,14,F,1968,BA,GRO Soc Science,500,1
188,10,M,1974,BS,Physical Education,50,1
189,17,M,1972,BA,Group SS Soc,400,1
190,32,M,1973,BS,Mathematics,1500,1
191,1,M,1968,BS,Sociology,450,1
192,8,F,1973,BS,Medical Technology,25,1
193,1,F,1973,BS,GRP SCI Geology,50,1
194,17,M,1974,BBA,Accounting,1500,1
195,7,M,1973,BS,Anthropology,100,1
196,10,M,1980,BS,Geology,100,1
197,9,M,1974,BS,Group SS Soc,100,1
198,15,F,1967,BA,GRO Soc Science,2100,1
199,17,F,1973,BAS,English Language and Literature,1570,1
200,7,M,1969,MBA,Psychology,50,1
201,12,F,1977,BBA,Management,100,1
202,8,M,1968,BA,Sociology,100,1
203,7,F,1968,BA,Sociology,100,1
204,5,M,1975,BS,Public Administration,100,1
205,17,M,1973,BA,English Language and Literature,600,1
206,6,M,1973,BA,Political Science,1,1
207,28,M,1967,BA,Political Science,2100,1
208,37,M,1967,BS,Economics,500,1
209,5,F,1972,BS,Physical Education,75,1
210,10,F,1974,BS,Physical Education,100,1
211,10,F,1974,BS,Physical Education,200,1
212,19,M,1975,BBA,Accounting,1e3,1
213,7,M,1977,BS,Chemistry,200,1
214,12,M,1975,BS,History,50,1
215,4,F,1970,BA,GRO Soc Science,100,1
216,9,F,1975,BBA,Business General,100,1
217,15,F,1971,BS,GRP SS Econ,23e3,1
218,11,M,1975,MED,Chemistry,50,1
219,10,F,1975,BS,GRO Soc Science,500,1
220,2,F,1975,BA,Psychology,100,1
221,5,M,1972,BBA,Business General,25,1
222,7,F,1973,BPH,Environmental Studies,50,1
223,9,F,1977,BS,Therapeutic Recreation,100,1
224,4,M,1980,BS,Group SS Soc,15,1
225,2,F,1976,BS,GRP SS Econ,30,1
226,15,M,1973,BS,Biology,20,1
227,26,M,1975,BA,Business General,2e3,1
228,5,M,1970,BBA,Accounting,500,1
229,7,F,1968,BA,Group Science,250,1
230,1,M,1968,BS,Mathematics,50,1
231,4,F,1968,BS,English Language and Literature,50,1
232,17,M,1972,MBA,Business General,200,1
233,6,F,1972,BS,GRP SCI Biology,75,1
234,7,F,1967,BS,Biology,25,1
235,9,M,1974,BS,Group SS Soc,200,1
236,14,M,1973,MSW,Social Work,600,1
237,114,M,1967,BS,GRO Soc Science,1850,1
238,11,F,1977,BS,Biology,300,1
239,29,M,1971,BA,Biology,50,1
240,3,M,1974,BBA,Business General,2e3,1
241,6,M,1975,BS,Physical Education,50,1
242,7,M,1973,BS,Computer Science,100,1
243,8,F,1969,BS,GRO Soc Science,100,1
244,15,M,1971,BS,Physical Education,15,1
245,7,F,1968,BA,German,30,1
246,9,F,1969,BS,Mathematics,500,1
247,9,M,1974,BA,Music,20,1
248,5,F,1969,BA,GRO Soc Science,10,1
249,1,F,1971,BS,Group Science,100,1
250,8,M,1972,BS,Chemistry,100,1
251,8,F,1975,BS,Group SS Soc,100,1
252,9,F,1968,BS,Biology,50,1
253,4,F,1969,BA,English Language and Literature,20,1
254,15,M,1972,BA,Political Science,23e3,1
255,7,M,1973,BS,Biology,100,1
256,11,F,1973,MED,Special Education,100,1
257,7,F,1975,BS,Group SS Soc,100,1
258,15,F,1967,BA,Group Science,25,1
259,9,M,1976,BS,Sociology,100,1
260,8,F,1977,BS,Mathematics,40,1
261,29,M,1976,BS,Physical Education,300,1
262,53,F,1967,MED,General Education,50,1
263,17,M,1969,BS,GRO Soc Science,300,1
264,10,F,1975,MED,General Education,50,1
265,8,F,1969,BA,French,75,1
266,12,F,1970,BA,Group SS Soc,300,1
267,11,F,1975,BS,GRO Soc Science,250,1
268,9,F,1967,BA,GRO Soc Science,100,1
269,7,F,1969,BS,GRO Soc Science,50,1
270,16,M,1971,BS,Sociology,300,1
271,12,M,1972,BS,Sociology,300,1
272,8,F,1973,BS,Group SS Soc,50,1
273,9,M,1973,MSW,German,50,1
274,28,F,1981,BS,Natural Resource Management,1200,1
275,9,M,1976,BS,Earth Science,50,1
276,2,F,1973,BS,Group SS Soc,100,1
277,8,F,1972,BS,Group SS Soc,50,1
278,14,M,1974,BS,Political Science,1e3,1
279,9,M,1977,MBA,Accounting,100,1
280,12,F,1974,BS,Chemistry,250,1
281,12,M,1974,BS,Chemistry,250,1
282,6,F,1976,BS,Physical Education,250,1
283,9,F,1972,BS,Psychology,5,1
284,9,M,1977,BBA,Business General,150,1
285,6,F,1971,BS,GRP SS Econ,50,1
286,6,M,1970,BS,GRO Soc Science,25,1
287,15,M,1975,BS,GRO Soc Science,450,1
288,6,M,1972,BS,Group SS Soc,20,1
289,10,F,1972,BS,Mathematics,100,1
290,2,M,1976,BS,Mathematics,50,1
291,7,F,1991,BSN,Nursing - RN,150,1
292,12,F,1967,BA,Psychology,50,1
293,7,F,1974,BA,Spanish,25,1
294,2,F,1974,BS,Environmental Studies,100,1
295,15,F,1970,BA,English Language and Literature,5e3,1
296,9,M,1976,BBA,Business General,100,1
297,1,F,1986,BS,Criminal Justice,100,1
298,9,M,1971,BS,Biology,25,1
299,10,M,1970,BA,Economics,200,1
300,15,M,1974,BBA,Accounting,50,1
301,13,M,1967,BA,Political Science,100,1
302,7,F,1969,BS,Mathematics,25,1
303,12,M,1975,BA,Health Science,200,1
304,16,M,1974,MED,Reading,600,1
305,39,F,1969,BA,English Language and Literature,2300,1
306,11,M,1974,BS,Social Relations,200,1
307,34,M,1969,BS,Economics,2300,1
308,13,F,1976,BS,Physical Education,600,1
309,9,F,1974,BS,Criminal Justice,150,1
310,16,F,1969,BS,GRO Soc Science,75,1
311,20,F,1975,BS,Sociology,50,1
312,6,M,1974,BS,Physical Education,200,1
313,22,M,1970,BS,Biology,1500,1
314,8,F,1971,BS,GRP SS Pol Sci,50,1
315,5,F,1975,BA,Psychology,500,1
316,10,M,1974,BS,Art,25,1
317,20,M,1968,BA,Biology,600,1
318,6,F,1975,BA,Spanish,150,1
319,5,M,1970,BBA,Business General,50,1
320,9,M,1971,BS,Chemistry,150,1
321,4,M,1969,BS,Mathematics,20,1
322,3,M,1985,BS,Physical Education,50,1
323,13,M,1974,BBA,Business General,50,1
324,9,M,1968,BA,Biology,200,1
325,9,M,1973,BS,Biology,300,1
326,10,F,1971,BS,Physical Education,150,1
327,7,M,1967,BA,Psychology,200,1
328,16,M,1983,BS,GRO Soc Science,600,1
329,11,M,1970,BS,Geology,250,1
330,9,F,1979,BS,Public Administration,100,1
331,11,M,1971,BS,Sociology,100,1
332,14,F,1970,BS,Group SS Soc,500,1
333,25,M,1968,BA,English Language and Literature,100,1
334,75,M,1971,BS,Economics,50,1
335,31,M,1977,MED,Bilingual/Bicultural Education,100,1
336,19,M,1974,BS,History,480,1
337,13,F,1974,BA,Art,250,1
338,5,F,1969,BA,Spanish,75,1
339,9,F,1974,BS,Physical Education,75,1
340,9,M,1976,BS,Environmental Studies,150,1
341,9,M,1969,BS,Group Science,225,1
342,12,M,1971,BS,Business General,600,1
343,17,M,1973,BBA,Accounting,100,1
344,33,F,1993,MBA,Business General,4566.5,1
345,4,M,1975,BS,Public Administration,50,1
346,10,F,1979,BS,Nursing,200,1
347,9,F,2002,BA,Health Communication,200,1
348,9,F,1996,BBA,Accounting,5e3,1
349,10,M,1986,BS,Political Science,25,1
350,7,M,2004,MED,General Education,15,1
351,8,F,1986,MED,General Education,80,1
352,9,F,1985,BS,Nursing,50,1
353,3,F,1987,BS,Sociology,100,1
354,8,M,1980,MBA,Management,50,1
355,8,F,2004,MED,General Education,5,1
356,3,M,1999,BS,Health Science,5,1
357,6,F,1988,MED,General Education,50,1
358,12,M,2005,BBA,Marketing,50,1
359,8,M,1975,BPH,Sociology,300,1
360,12,F,1980,BBA,Business General,750,1
361,27,F,1983,MBA,Marketing,51245.54,1
362,6,F,2003,BA,Political Science,150,1
363,5,F,1988,BS,Physical Therapy,50,1
364,5,M,1992,BBA,Marketing,100,1
365,6,F,1975,BPH,Environmental Studies,25,1
366,1,F,1995,BS,Mathematics,65,1
367,7,M,1977,MBA,Taxation,100,1
368,50,F,1979,BS,Art,500,1
369,49,F,1980,BS,Political Science,580,1
370,5,M,1999,MPAS,Physician Assistant Studies,100,1
371,8,M,1998,BSE,Engineering,600,1
372,1,F,2001,BS,Advertising & Public Relations,50,1
373,6,F,1994,BBA,Accounting,100,1
374,6,M,1993,BBA,Finance,50,1
375,7,M,1986,BBA,Facilities Management,100,1
376,91,F,1995,MBA,Business General,100,1
377,6,M,1978,BBA,Business General,100,1
378,4,M,1981,BBA,Business General,100,1
379,6,M,2002,MBA,Business General,50,1
380,3,F,2004,BS,Physical Education,50,1
381,10,F,1995,BSN,Nursing - RN,50,1
382,7,F,1981,BS,Biology,20,1
383,14,F,2000,BS,Health Science,80,1
384,95,F,2001,MED,General Education,300,1
385,15,F,1979,BS,Environmental Studies,100,1
386,5,F,2003,BS,Biomedical Sciences,1e3,1
387,8,F,1989,EDS,Leadership,75,1
388,6,M,1981,MBA,Finance,20,1
389,1,M,2002,BS,Biomedical Sciences,150,1
390,6,F,1994,BA,Biology,100,1
391,9,F,1982,BS,Nursing,150,1
392,30,F,2002,MSW,Social Work,1500,1
393,6,F,1991,MBA,Finance,280,1
394,8,F,1995,MBA,Business General,25,1
395,6,M,1997,BBA,Marketing,50,1
396,7,M,1974,BS,GRP SS Pol Sci,750,1
397,6,M,1996,MBA,Business General,50,1
398,2,M,1996,BBA,Marketing,1e3,1
399,9,M,1990,BBA,Management,200,1
400,7,F,1994,MED,General Education,100,1
401,9,M,1982,BSN,Nursing,100,1
402,10,M,2010,MED,General Education,350,1
403,11,M,1974,MS,Computer Information Systems,50,1
404,20,M,1985,MED,General Education,575,1
405,5,F,1998,BS,Mathematics,100,1
406,5,F,1978,BSW,Social Work,100,1
407,7,M,1996,MBA,Business General,250,1
408,15,M,1997,MED,General Education,100,1
409,6,F,1993,BS,Biology,100,1
410,10,M,1984,BBA,Accounting,500,1
411,8,M,1990,BBA,Accounting,1e3,1
412,5,F,1996,BA,Psychology,100,1
413,4,M,1978,BS,Public Administration,50,1
414,11,F,2001,BBA,Accounting,1e3,1
415,1,F,1999,MST,Taxation,25,1
416,5,F,1998,MED,General Education,25,1
417,12,M,2006,BS,Psychology,600,1
418,2,F,2000,BS,Physical Education,30,1
419,13,M,1999,BSE,Engineering,50,1
420,8,M,1984,MBA,Finance,50,1
421,1,F,2000,MSN,Nursing,50,1
422,7,M,1990,MST,Taxation,250,1
423,1,F,2000,BS,GRO Social Studies,200,1
424,2,F,2002,BSN,Nursing,20,1
425,6,F,1987,BS,Language Arts,75,1
426,7,M,1983,BS,Art,30,1
427,28,F,2009,MPA,Public Administration,250,1
428,11,F,1999,MS,Physical Therapy,50,1
429,7,F,1996,BS,Psychology,50,1
430,13,M,1989,BS,Public Administration,1e3,1
431,8,F,1979,MED,General Education,1250,1
432,7,F,2001,MS,Physical Therapy,100,1
433,6,M,2006,BBA,Marketing,100,1
434,8,F,1981,MED,General Education,450,1
435,7,M,1991,MBA,Management,1e3,1
436,41,M,1991,BBA,Marketing,1e3,1
437,22,M,1985,BS,Criminal Justice,525,1
438,4,F,2002,BS,Legal Studies,565,1
439,5,F,2001,MED,General Education,475,1
440,7,M,1996,MS,Physical Therapy,100,1
441,8,F,2001,BS,Health Communication,150,1
442,9,F,1998,MPA,Public Administration,50,1
443,11,M,1999,BS,Behavioral Science,280,1
444,19,F,2008,MED,Higher Education,40,1
445,27,F,2001,MED,General Education,25,1
446,8,F,1988,MSW,Social Work,25,1
447,12,M,1988,MED,General Education,10,1
448,3,M,1990,BS,Advertising & Public Relations,25,1
449,8,M,1985,BS,Psychology,100,1
450,8,M,1976,BS,Public Administration,200,1
451,15,M,1977,MED,General Education,1250,1
452,6,M,2000,BS,Health Communication,100,1
453,5,F,1994,MED,General Education,10,1
454,62,F,1981,MBA,Finance,1500,1
455,43,F,1980,MBA,Business General,800,1
456,1,F,2003,BSN,Nursing,200,1
457,12,M,1995,BS,Physical Education,100,1
458,18,M,1982,MED,General Education,50,1
459,8,M,2003,MBA,Business General,100,1
460,12,M,1994,BS,Criminal Justice,250,1
461,9,F,1996,MPAS,Physician Assistant Studies,200,1
462,5,F,1982,BBA,Management,50,1
463,20,M,1996,BS,Health Science,337.08,1
464,11,F,1997,MS,Physical Therapy,50,1
465,6,F,2004,DPT,Physical Therapy,100,1
466,7,F,1988,MED,General Education,50,1
467,6,F,1994,MED,Reading,125,1
468,26,F,1977,BBA,Business General,3e3,1
469,17,F,1987,MED,General Education,50,1
470,6,M,1980,BS,Physical Education,20,1
471,9,M,1977,BS,History,50,1
472,6,F,2000,BA,English Language and Literature,100,1
473,7,F,1999,MSN,Nursing,100,1
474,21,F,1976,BS,Geology,200,1
475,11,F,1997,BBA,Management,300,1
476,32,M,1980,BBA,Business General,1e3,1
477,8,F,2003,MED,Reading,25,1
478,5,F,1998,MBA,Business General,20,1
479,13,M,1978,BBA,Business General,25,1
480,2,F,1994,BS,Psychology,70,1
481,18,F,1983,MBA,Management,100,1
482,6,M,1992,BS,Journalism,20,1
483,21,F,1982,BS,Special Education,100,1
484,23,F,1997,BA,Public Administration,35,1
485,12,F,1991,MED,Special Education,10,1
486,11,M,1985,BS,Advertising & Public Relations,1e3,1
487,7,F,1986,BS,Liberal Studies,50,1
488,0,F,1988,BS,Public Administration,30,1
489,18,F,1987,BS,Computer Science,500,1
490,14,M,1999,MPAS,Physician Assistant Studies,15,1
491,9,F,1990,BBA,Finance,50,1
492,7,F,1986,BS,Public Administration,25,1
493,10,M,1997,BS,Film and Video,300,1
494,2,F,1989,BS,Mathematics,600,1
495,9,F,1998,MED,General Education,1e3,1
496,7,F,1988,BS,Sociology,50,1
497,10,M,1995,BS,Criminal Justice,25,1
498,12,M,1997,BS,Health Science,30,1
499,3,F,1991,BS,Health Science,100,1
500,6,F,1992,BS,Psychology,100,1
501,7,F,2002,MED,General Education,50,1
502,6,F,2000,BSN,Nursing,1e3,1
503,5,M,2004,BSE,Engineering,50,1
504,2,F,2003,BS,Psychology,25,1
505,13,M,1999,BS,Criminal Justice,300,1
506,4,M,1999,BBA,Accounting,20,1
507,14,F,2001,MPA,Public Administration,150,1
508,7,F,2007,BS,Journalism,700,1
509,11,M,1975,MBA,Accounting,175,1
510,52,F,1980,BA,Music,2e3,1
511,4,F,1990,BS,Hospitality Tourism Mgt,100,1
512,27,M,1983,BS,Geology,350,1
513,13,M,1987,MED,General Education,100,1
514,8,F,1982,BS,Occup Safety/Health Management,100,1
515,11,F,1981,BBA,Accounting,50,1
516,9,M,1977,MBA,Management,500,1
517,7,M,2000,MBA,Business General,250,1
518,1,F,1999,MSN,Nursing,100,1
519,9,F,2002,MED,General Education,500,1
520,8,F,1986,MSN,Nursing,75,1
521,2,M,1978,BBA,Management,25,1
522,7,F,1977,BS,Social Relations,30,1
523,2,M,1981,BS,Environmental Studies,10,1
524,4,M,1998,MBA,Business General,250,1
525,63,M,1978,BS,Environmental Studies,650,1
526,23,F,1977,BS,Psychology,600,1
527,29,M,1980,BPH,Environmental Studies,500,1
528,9,F,1983,BBA,Accounting,50,1
529,18,M,1987,BBA,Business General,300,1
530,7,F,2001,MED,General Education,100,1
531,8,F,1982,BS,Health Science,100,1
532,6,M,1996,MPA,Public Administration,100,1
533,6,M,1984,BA,Computer Science,300,1
534,3,F,1995,BS,Psychology,50,1
535,24,M,1986,BBA,Finance,250,1
536,7,F,1985,BS,Nursing,50,1
537,7,M,1986,BBA,Marketing,150,1
538,2,F,2001,BS,Physical Education,10,1
539,13,M,1987,BS,Political Science,250,1
540,21,F,2002,BS,Health Science,175,1
541,10,M,1988,MS,Communications,100,1
542,10,F,2001,BSN,Nursing,20,1
543,11,F,2000,BA,Advertising & Public Relations,50,1
544,11,M,1997,MED,General Education,150,1
545,25,M,1989,MBA,Business General,25,1
546,5,M,1998,BBA,Marketing,100,1
547,4,F,2003,BS,Chemistry,25,1
548,13,F,2003,MED,General Education,25,1
549,6,F,1991,BA,English Language and Literature,20,1
550,11,F,2005,BA,Photography,150,1
551,27,F,1999,BBA,Management,100,1
552,5,F,1998,MS,Physical Therapy,50,1
553,2,F,1996,BS,Physical Education,150,1
554,12,M,2002,BSE,Engineering,250,1
555,9,F,2005,MPAS,Physician Assistant Studies,250,1
556,7,M,1999,BS,GRO Social Studies,40,1
557,9,F,1971,MED,Reading,25,1
558,13,F,1991,MSW,Social Work,50,1
559,7,M,1977,BS,English Language and Literature,100,1
560,10,M,1992,MSW,Social Work,300,1
561,23,M,1979,BBA,Business General,100,1
562,64,M,1978,BBA,Business General,1500,1
563,8,F,1978,BBA,Accounting,100,1
564,8,F,1987,BBA,Management,500,1
565,8,F,1990,MPA,Public Administration,300,1
566,28,F,1978,MBA,Management,300,1
567,56,F,2000,MED,General Education,400,1
568,1,F,2001,PBCE,NA,25,1
569,4,F,1981,BME,Music,25,1
570,37,M,1978,BBA,Business General,600,1
571,7,F,1988,MED,Special Education,1e3,1
572,6,F,1985,BA,French,100,1
573,6,F,1990,BS,Mathematics,50,1
574,10,M,1985,BS,Criminal Justice,50,1
575,3,F,1997,BSN,Nursing,20,1
576,9,F,1982,MBA,Business General,430,1
577,7,M,1992,MED,General Education,125,1
578,31,F,1985,BS,Sociology,500,1
579,18,M,1984,BS,Criminal Justice,1e3,1
580,26,F,1991,BS,Photography,100,1
581,12,F,1993,BS,Biomedical Sciences,300,1
582,13,M,1994,BBA,Finance,1e3,1
583,5,F,1991,MED,Special Education,40,1
584,8,M,2000,BS,Occup Safety/Health Management,25,1
585,14,M,1990,MST,Taxation,150,1
586,11,F,1995,MED,General Education,53,1
587,4,M,1995,BS,Computer Science,25,1
588,17,F,2003,MED,General Education,110.09,1
589,3,M,2002,BS,Biology,100,1
590,4,M,1996,MED,General Education,300,1
591,24,F,2001,BS,Group Science,45,1
592,11,F,2001,BS,Biomedical Sciences,2500,1
593,10,F,2003,BBA,Finance,50,1
594,5,F,2000,BS,Group Science,20,1
595,6,F,2000,BS,Health Communication,25,1
596,10,F,2001,BS,Psychology,108,1
597,8,F,1995,MPA,Public Administration,100,1
598,3,F,1992,BBA,Accounting,100,1
599,8,M,1978,BBA,Accounting,50,1
600,1,F,1986,MED,General Education,50,1
601,8,M,1977,MBA,Accounting,100,1
602,12,F,1997,MED,General Education,150,1
603,9,M,1983,BBA,Accounting,430,1
604,18,F,1984,MPA,Public Administration,26,1
605,11,M,1973,BS,Environmental Studies,10,1
606,16,F,1991,BS,Biology,100,1
607,1,F,1978,BS,Legal Administration,25,1
608,23,F,1985,MSN,Nursing,700,1
609,42,M,1987,BBA,Accounting,1300,1
610,27,F,1978,BS,Criminal Justice,70,1
611,2,M,1996,BS,Advertising & Public Relations,20,1
612,9,M,1981,MBA,Business General,100,1
613,8,F,1981,BS,Public Administration,50,1
614,7,F,1995,BS,Health Science,50,1
615,15,M,1988,BS,Advertising & Public Relations,750,1
616,6,F,2010,BBA,Accounting,60,1
617,5,F,1983,BS,Criminal Justice,100,1
618,8,M,1994,BS,Public Administration,50,1
619,6,F,1996,MS,Communications,200,1
620,26,M,1992,BS,Mathematics,2600,1
621,9,F,1983,BS,Biology,500,1
622,18,M,1989,MED,General Education,300,1
623,5,M,1986,BS,Journalism,50,1
624,13,M,1994,MED,General Education,300,1
625,9,M,1999,BBA,Accounting,300,1
626,14,M,1988,BBA,Marketing,1e3,1
627,9,M,1986,BS,Criminal Justice,300,1
